strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030702010705,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702011103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040105,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040603,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040701,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040702,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040703,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040801,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040802,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030702040803,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801010903,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801010904,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011105,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011206,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011207,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011208,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011406,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011407,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011504,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011505,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011506,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011601,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011603,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011604,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011605,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011606,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011701,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011702,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011801,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011802,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011901,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011902,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801011903,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012001,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012002,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012003,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012004,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012100,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020504,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020505,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020700,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020801,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020802,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020803,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020805,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801020806,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801021406,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030504,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030601,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030603,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030604,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030701,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030702,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030703,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030704,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030801,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030802,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030803,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030804,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030901,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030902,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030903,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801030904,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031001,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031002,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031003,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031004,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801031304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010105,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802010601,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030802020301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
