strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
031700060103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060107,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060108,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700060302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070107,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070404,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070405,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070406,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070505,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700070506,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
