strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170701051001,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051002,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051003,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051004,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051005,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051202,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170701051203,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010301,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010303,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010304,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010503,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010504,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010505,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010506,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010601,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010602,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010603,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010604,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010605,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010606,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010701,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010702,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010703,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010801,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010802,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010803,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800010804,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020104,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020105,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020106,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020107,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020108,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020109,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020110,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020111,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020201,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020202,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020203,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020204,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020205,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020301,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020302,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020303,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020304,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020305,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020403,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020404,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020405,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020501,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020502,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020503,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020504,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020505,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020506,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020507,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020601,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020602,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020603,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020604,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020605,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800020606,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030101,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030102,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030103,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030104,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030105,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030106,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030107,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030201,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030202,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030203,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030204,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030205,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030206,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030207,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030301,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030302,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030303,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030304,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030305,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030403,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030404,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030405,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030501,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030502,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030503,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030504,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030505,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800030601,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800030602,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800040402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800040404,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800040405,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800040407,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800040408,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800040508,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050101,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050102,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050103,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050104,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050105,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050106,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050201,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050202,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050203,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050204,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050205,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050206,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050301,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050302,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050303,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050304,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050305,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050306,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050403,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050404,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050501,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050502,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050503,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050504,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050505,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050601,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050602,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050603,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050604,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050605,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050701,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050702,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050801,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050802,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050803,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050804,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050901,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050902,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050903,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050904,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050905,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800050906,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060101,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060102,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060103,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060201,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060202,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060203,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060204,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060205,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060206,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060207,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060208,mELK1r,4,2,3,1,Reintroduced,Possibly present,Both breeding and nonbreeding,Year-round
170800060301,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060302,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060303,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060304,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170800060403,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010102,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010103,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010104,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010105,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010106,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010201,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010202,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010302,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010303,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010401,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010402,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010403,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010501,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010502,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010503,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010504,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010505,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010603,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
170900010604,mELK1r,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
