strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
180101020302,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101030101,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030102,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030103,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030201,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030202,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030203,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030204,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030205,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030301,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030302,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030401,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030402,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030403,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030404,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101030405,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030406,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030501,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030502,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030503,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030504,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030505,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101030506,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040101,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040102,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040103,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040104,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040105,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040201,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040204,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040205,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040206,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040207,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040208,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040301,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040302,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040303,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040304,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040401,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040402,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040403,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040501,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101040502,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040503,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040504,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040505,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040506,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101040507,mELK1t,4,1,3,1,Reintroduced,Known/extant,Both breeding and nonbreeding,Year-round
180101050101,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050102,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050103,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050104,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050105,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050106,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050107,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050108,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050109,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050201,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050202,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050203,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050204,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050205,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050206,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050301,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050302,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050303,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050401,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050402,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050403,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050404,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050405,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
180101050406,mELK1t,1,4,3,1,Native,Extirpated/historical presence,Both breeding and nonbreeding,Year-round
